,Open,Close,High,Low,Volume,neg,neu,pos,compound,label
0,3.278571,3.261429,3.2975,3.217857,795079600,0.032,0.905,0.063,0.7707,0
1,3.281429,3.254286,3.2875,3.232143,709536800,0.011,0.904,0.085,0.872,0
2,3.237143,3.208214,3.263929,3.2025,638184400,0.029,0.878,0.093,0.6858,0
3,3.215357,3.108572,3.232143,3.103571,1004827600,0.091,0.869,0.04,-0.6712,1
4,3.115357,3.152143,3.1925,3.107143,784277200,0.084,0.848,0.069,-0.1796,0
5,3.175,3.169643,3.189286,3.144643,499780400,0.105,0.852,0.042,-0.8743,1
6,3.141071,3.180357,3.181072,3.1125,857052000,0.018,0.9,0.082,0.936,0
7,3.180357,3.1625,3.214286,3.152143,832330800,0.026,0.88,0.094,0.962,0
8,3.179286,3.132857,3.186429,3.118929,739939200,0.051,0.905,0.044,-0.5228,0
9,3.129643,3.0525,3.142857,3.021071,721576800,0.03,0.887,0.082,0.7059,1
10,3.026071,3.0825,3.095714,2.986428,911405600,0.132,0.78,0.088,-0.6705,0
11,3.088214,3.027143,3.095357,3.026428,567691600,0.131,0.781,0.088,-0.802,0
12,2.980714,2.935714,3.001429,2.914286,613303600,0.011,0.942,0.047,0.7269,0
13,2.933928,2.911072,2.948929,2.888929,490688800,0.07,0.885,0.045,-0.7685,1
14,2.791071,2.911429,2.928571,2.741786,1935754800,0.054,0.845,0.101,0.9488,1
15,2.865,2.888214,2.901786,2.844643,1119876800,0.076,0.814,0.11,0.8636,1
16,2.998214,3.03,3.05,2.977143,1076429200,0.07,0.802,0.128,0.8914,0
17,3.081786,2.992857,3.092143,2.925,1238319600,0.082,0.851,0.067,-0.3881,1
18,3.001786,3.059286,3.069643,2.993572,847260400,0.066,0.844,0.09,0.8456,0
19,3.063214,3.0375,3.078571,3.014286,834741600,0,0.922,0.078,0.9698,0
20,3.07,3.0525,3.090357,3.045714,797106800,0.072,0.826,0.102,0.8798,1
21,3.0875,3.306072,3.320714,3.041071,3349298400,0.102,0.853,0.045,-0.946,1
22,3.383929,3.464286,3.492857,3.3375,2952880000,0.072,0.893,0.035,-0.8465,0
23,3.426429,3.421429,3.456429,3.396429,1440252800,0.056,0.878,0.066,0.6509,0
24,3.378214,3.379286,3.395,3.329643,1312690400,0.028,0.865,0.107,0.968,1
25,3.417143,3.467857,3.473214,3.408929,1244076400,0.074,0.869,0.058,-0.8212,0
26,3.484286,3.391071,3.485714,3.386429,1646260000,0.073,0.83,0.097,0.7482,0
27,3.289286,3.181072,3.289643,3.180357,2364605600,0.059,0.822,0.119,0.9592,0
28,3.165357,3.160714,3.201786,3.147143,1364473600,0.022,0.828,0.149,0.9864,0
29,3.183571,3.099643,3.184286,3.058928,1454026000,0.034,0.85,0.116,0.9829,0
30,3.061786,3.060714,3.125357,3.053929,1207424400,0.033,0.917,0.05,0.7184,0
