,neg,neu,pos,compound,Open,High,Low,Close,Volume,label
1,0.218,0.705,0.078,-0.9972,12210.12988,12331.86035,12195.32031,12280.32031,266350000,1
2,0.212,0.748,0.04,-0.9943,12277.70996,12369.23047,12206.95996,12289.75977,240760000,0
3,0.167,0.732,0.101,-0.9728,12286.33984,12286.66992,12079.12988,12083.76953,247120000,1
4,0.15,0.77,0.08,-0.9681,12089.62988,12269.24023,12076.92969,12141.58008,260960000,1
5,0.188,0.731,0.081,-0.9952,12144.58984,12310.28027,12144.58984,12307.34961,247980000,0
8,0.196,0.733,0.072,-0.9899,12306.86035,12319.71973,12212.25,12269.08008,222140000,0
9,0.193,0.75,0.056,-0.9886,12269.65039,12322.82031,12150.29004,12160.29981,174690000,0
10,0.208,0.743,0.05,-0.9954,12158.67969,12158.67969,11993.63965,12029.05957,212900000,1
11,0.148,0.773,0.08,-0.9772,12029.05957,12114.79004,11978.33008,12063.08984,230920000,0
12,0.291,0.66,0.049,-0.9976,12062.19043,12062.19043,11818.83008,11842.69043,429700000,0
15,0.128,0.82,0.051,-0.9868,11843.83008,11986.95996,11731.05957,11842.36035,182870000,0
16,0.216,0.69,0.095,-0.9948,11842.36035,11904.32031,11725.51953,11807.42969,225270000,1
17,0.164,0.778,0.058,-0.9916,11805.30957,11924.19043,11789.36035,11811.83008,236160000,0
18,0.199,0.768,0.033,-0.9956,11808.57031,11808.73047,11453.41992,11453.41992,302550000,0
19,0.171,0.75,0.079,-0.992,11452.84961,11485.25,11297.99023,11346.50977,338250000,1
22,0.109,0.812,0.079,-0.9065,11345.7002,11437.29981,11287.55957,11350.00977,282210000,1
23,0.174,0.697,0.129,-0.9545,11344.63965,11407.90039,11183.42969,11382.25977,299590000,0
24,0.172,0.764,0.064,-0.9904,11382.33984,11434.12012,11214.37012,11215.50977,230690000,1
25,0.23,0.715,0.055,-0.9959,11216,11337.48047,11157.20996,11288.54004,176910000,0
29,0.218,0.709,0.072,-0.994,11289.19043,11399.11035,11120.74023,11231.95996,248240000,1
30,0.164,0.734,0.102,-0.9697,11225.03027,11391.12988,11174.87988,11384.20996,271500000,0
31,0.237,0.727,0.036,-0.996,11381.92969,11418.24023,11141.99023,11147.44043,227100000,1
32,0.184,0.765,0.051,-0.9879,11148.00977,11270.29981,11086.9502,11229.01953,248010000,0
33,0.124,0.756,0.12,0.2957,11226.16992,11241.07031,10977.67969,11100.54004,275010000,0
36,0.184,0.743,0.073,-0.9873,11103.63965,11239.04004,11003.65039,11055.19043,205360000,0
37,0.091,0.879,0.03,-0.8756,11050.79981,11123.66992,10827.70996,10962.54004,331390000,1
38,0.178,0.74,0.082,-0.9877,10961.88965,11244.16992,10918.33008,11239.28027,307590000,1
39,0.169,0.727,0.104,-0.9757,11238.38965,11446.66016,11209.55957,11446.66016,335260000,1
40,0.141,0.78,0.079,-0.9622,11436.55957,11510.82031,11381.92969,11496.57031,378610000,0
43,0.195,0.742,0.063,-0.9957,11495.01953,11559.66992,11423.94043,11467.33984,212850000,1
44,0.197,0.757,0.046,-0.9928,11457.90039,11616.66016,11387.38965,11602.5,273690000,1
45,0.13,0.834,0.036,-0.983,11603.38965,11698.16992,11558.29004,11632.37988,264520000,0
46,0.165,0.794,0.041,-0.9899,11630.33984,11634.49023,11345.37012,11349.28027,241140000,1
47,0.107,0.823,0.07,-0.9339,11341.13965,11443.80957,11325.09961,11370.69043,190920000,0
50,0.214,0.769,0.017,-0.9945,11369.46973,11369.54981,11125.12988,11131.08008,197550000,1
51,0.204,0.755,0.041,-0.9955,11133.44043,11398.37988,11128.05957,11397.55957,206930000,1
52,0.214,0.747,0.039,-0.9951,11397.55957,11586.62012,11397.55957,11583.69043,208520000,0
53,0.181,0.77,0.048,-0.9869,11577.99023,11578.88965,11363.69043,11378.01953,220200000,0
54,0.191,0.696,0.114,-0.9823,11379.88965,11425.73047,11267.04981,11326.32031,189700000,0
57,0.153,0.785,0.062,-0.978,11326.32031,11382.16992,11221.53027,11284.15039,170250000,1
58,0.112,0.846,0.042,-0.9638,11286.01953,11615.92969,11286.01953,11615.76953,234990000,1
59,0.177,0.767,0.056,-0.9921,11603.63965,11685.45996,11521.32031,11656.07031,180060000,0
60,0.143,0.793,0.063,-0.9843,11655.41992,11655.58008,11416.7002,11431.42969,229610000,1
61,0.214,0.724,0.062,-0.9966,11432.08984,11759.95996,11388.04004,11734.32031,212830000,1
64,0.148,0.761,0.091,-0.9457,11729.66992,11867.11035,11675.53027,11782.34961,183190000,0
65,0.139,0.805,0.056,-0.9739,11781.7002,11782.34961,11601.51953,11642.46973,173590000,0
66,0.146,0.797,0.058,-0.9805,11632.80957,11633.78027,11453.33984,11532.95996,182550000,1
67,0.185,0.723,0.092,-0.9831,11532.07031,11718.28027,11450.88965,11615.92969,159790000,1
68,0.165,0.775,0.059,-0.9856,11611.20996,11709.88965,11599.73047,11659.90039,215040000,0
71,0.224,0.734,0.042,-0.9938,11659.65039,11690.42969,11434.12012,11479.38965,156290000,0
72,0.24,0.704,0.056,-0.9959,11478.08984,11478.16992,11318.5,11348.54981,171580000,1
73,0.186,0.766,0.048,-0.9917,11345.94043,11454.15039,11290.58008,11417.42969,144880000,1
74,0.161,0.763,0.076,-0.9867,11415.23047,11476.20996,11315.57031,11430.20996,130020000,1
75,0.131,0.786,0.082,-0.9515,11426.79004,11632.12988,11426.79004,11628.05957,138790000,0
78,0.267,0.721,0.012,-0.9974,11626.19043,11626.26953,11362.62988,11386.25,148610000,1
79,0.194,0.744,0.062,-0.9844,11383.55957,11436.24023,11340.41016,11412.87012,119800000,1
80,0.171,0.775,0.054,-0.9878,11412.45996,11554.45996,11381.76953,11502.50977,120580000,1
81,0.129,0.755,0.116,-0.7269,11499.87012,11715.17969,11499.79004,11715.17969,149150000,0
82,0.108,0.817,0.075,-0.8736,11713.23047,11713.23047,11543.38965,11543.95996,166910000,0
86,0.216,0.737,0.046,-0.9948,11545.62988,11790.16992,11471.90039,11516.91992,177090000,1
87,0.148,0.785,0.067,-0.974,11506.00977,11554.37988,11416.53027,11532.87988,174250000,0
88,0.185,0.723,0.093,-0.9861,11532.48047,11532.48047,11176.01953,11188.23047,229200000,1
89,0.224,0.692,0.084,-0.9956,11185.62988,11245.15039,11037.84961,11220.95996,198300000,1
92,0.225,0.728,0.047,-0.9958,11224.87012,11570.66016,11224.79004,11510.74023,273000000,0
93,0.173,0.763,0.064,-0.99,11514.73047,11577.5,11230.73047,11230.73047,257300000,1
94,0.222,0.737,0.04,-0.9947,11233.91016,11380.62988,11215.25977,11268.91992,214260000,1
95,0.145,0.776,0.078,-0.9417,11264.44043,11445.67969,11098.66992,11433.70996,247820000,0
96,0.13,0.835,0.034,-0.9807,11429.32031,11459.92969,11280.40039,11421.99023,238890000,0
99,0.189,0.734,0.077,-0.9885,11416.37012,11416.4502,10917.50977,10917.50977,432970000,1
100,0.214,0.726,0.06,-0.996,10905.62012,11093.21973,10742.7002,11059.01953,494760000,0
101,0.203,0.778,0.018,-0.9923,11056.58008,11057.30957,10595.90039,10609.66016,463200000,1
102,0.22,0.744,0.036,-0.9944,10609.00977,11076.44043,10459.44043,11019.69043,488060000,1
103,0.253,0.714,0.033,-0.9949,11027.50977,11483.04981,11026.7002,11388.44043,655110000,0
106,0.218,0.717,0.066,-0.9957,11394.41992,11394.58008,10992.2002,11015.69043,213210000,0
107,0.188,0.739,0.073,-0.9865,11015.69043,11143.20996,10833.94043,10854.16992,204480000,0
108,0.259,0.708,0.033,-0.9975,10850.01953,10928.40039,10753.57031,10825.16992,183630000,1
109,0.161,0.83,0.008,-0.9879,10827.16992,11129.19043,10827.00977,11022.05957,218530000,1
110,0.17,0.802,0.028,-0.9881,11019.04004,11168.05957,10868.82031,11143.12988,232560000,0
113,0.188,0.731,0.08,-0.987,11139.62012,11139.94043,10365.4502,10365.4502,385940000,1
114,0.189,0.714,0.097,-0.9815,10371.58008,10868.90039,10371.41992,10850.66016,319770000,0
115,0.186,0.724,0.09,-0.9892,10847.40039,10882.51953,10631.9502,10831.07031,256670000,0
116,0.154,0.757,0.088,-0.9738,10825.54004,10825.54004,10439.51953,10482.84961,395330000,0
117,0.135,0.81,0.055,-0.9824,10483.95996,10796.25977,10310.25,10325.37988,299690000,0
120,0.139,0.775,0.086,-0.9068,10322.51953,10322.75977,9525.320313,9955.5,391460000,0
121,0.104,0.835,0.061,-0.9417,9955.419922,10124.03027,9436.669922,9447.110352,362520000,0
122,0.185,0.752,0.063,-0.9932,9437.230469,9628.070313,9194.780273,9258.099609,479270000,0
123,0.221,0.734,0.045,-0.9974,9261.69043,9448.139648,8579.19043,8579.19043,436740000,0
