,neg,neu,pos,compound,Open,label
1,0.218,0.705,0.078,-0.9972,12210.12988,1
2,0.212,0.748,0.04,-0.9943,12277.70996,1
3,0.167,0.732,0.101,-0.9728,12286.33984,0
4,0.15,0.77,0.08,-0.9681,12089.62988,1
5,0.188,0.731,0.081,-0.9952,12144.58984,1
8,0.196,0.733,0.072,-0.9899,12306.86035,0
9,0.193,0.75,0.056,-0.9886,12269.65039,0
10,0.208,0.743,0.05,-0.9954,12158.67969,0
11,0.148,0.773,0.08,-0.9772,12029.05957,1
12,0.291,0.66,0.049,-0.9976,12062.19043,0
15,0.128,0.82,0.051,-0.9868,11843.83008,0
16,0.216,0.69,0.095,-0.9948,11842.36035,0
17,0.164,0.778,0.058,-0.9916,11805.30957,1
18,0.199,0.768,0.033,-0.9956,11808.57031,0
19,0.171,0.75,0.079,-0.992,11452.84961,0
22,0.109,0.812,0.079,-0.9065,11345.7002,1
23,0.174,0.697,0.129,-0.9545,11344.63965,1
24,0.172,0.764,0.064,-0.9904,11382.33984,0
25,0.23,0.715,0.055,-0.9959,11216,1
29,0.218,0.709,0.072,-0.994,11289.19043,0
30,0.164,0.734,0.102,-0.9697,11225.03027,1
31,0.237,0.727,0.036,-0.996,11381.92969,0
32,0.184,0.765,0.051,-0.9879,11148.00977,1
33,0.124,0.756,0.12,0.2957,11226.16992,0
36,0.184,0.743,0.073,-0.9873,11103.63965,0
37,0.091,0.879,0.03,-0.8756,11050.79981,0
38,0.178,0.74,0.082,-0.9877,10961.88965,1
39,0.169,0.727,0.104,-0.9757,11238.38965,1
40,0.141,0.78,0.079,-0.9622,11436.55957,1
43,0.195,0.742,0.063,-0.9957,11495.01953,0
44,0.197,0.757,0.046,-0.9928,11457.90039,1
45,0.13,0.834,0.036,-0.983,11603.38965,1
46,0.165,0.794,0.041,-0.9899,11630.33984,0
47,0.107,0.823,0.07,-0.9339,11341.13965,1
50,0.214,0.769,0.017,-0.9945,11369.46973,0
51,0.204,0.755,0.041,-0.9955,11133.44043,1
52,0.214,0.747,0.039,-0.9951,11397.55957,1
53,0.181,0.77,0.048,-0.9869,11577.99023,0
54,0.191,0.696,0.114,-0.9823,11379.88965,0
57,0.153,0.785,0.062,-0.978,11326.32031,0
58,0.112,0.846,0.042,-0.9638,11286.01953,1
59,0.177,0.767,0.056,-0.9921,11603.63965,1
60,0.143,0.793,0.063,-0.9843,11655.41992,0
61,0.214,0.724,0.062,-0.9966,11432.08984,1
64,0.148,0.761,0.091,-0.9457,11729.66992,1
65,0.139,0.805,0.056,-0.9739,11781.7002,0
66,0.146,0.797,0.058,-0.9805,11632.80957,0
67,0.185,0.723,0.092,-0.9831,11532.07031,1
68,0.165,0.775,0.059,-0.9856,11611.20996,1
71,0.224,0.734,0.042,-0.9938,11659.65039,0
72,0.24,0.704,0.056,-0.9959,11478.08984,0
73,0.186,0.766,0.048,-0.9917,11345.94043,1
74,0.161,0.763,0.076,-0.9867,11415.23047,1
75,0.131,0.786,0.082,-0.9515,11426.79004,1
78,0.267,0.721,0.012,-0.9974,11626.19043,0
79,0.194,0.744,0.062,-0.9844,11383.55957,1
80,0.171,0.775,0.054,-0.9878,11412.45996,1
81,0.129,0.755,0.116,-0.7269,11499.87012,1
82,0.108,0.817,0.075,-0.8736,11713.23047,0
86,0.216,0.737,0.046,-0.9948,11545.62988,0
87,0.148,0.785,0.067,-0.974,11506.00977,1
88,0.185,0.723,0.093,-0.9861,11532.48047,0
89,0.224,0.692,0.084,-0.9956,11185.62988,1
92,0.225,0.728,0.047,-0.9958,11224.87012,1
93,0.173,0.763,0.064,-0.99,11514.73047,0
94,0.222,0.737,0.04,-0.9947,11233.91016,1
95,0.145,0.776,0.078,-0.9417,11264.44043,1
96,0.13,0.835,0.034,-0.9807,11429.32031,0
99,0.189,0.734,0.077,-0.9885,11416.37012,0
100,0.214,0.726,0.06,-0.996,10905.62012,1
101,0.203,0.778,0.018,-0.9923,11056.58008,0
102,0.22,0.744,0.036,-0.9944,10609.00977,1
103,0.253,0.714,0.033,-0.9949,11027.50977,1
