,Open,Close,High,Low,Volume,neg,neu,pos,compound,label
0,29.23,29.33,29.52,29.17,55123400,0.137,0.863,0,-0.7783,0
1,29.1,28.99,29.129999,28.870001,48564100,0.051,0.847,0.102,0.9003,0
2,28.959999,28.85,29.07,28.809999,46831100,0,0.81,0.19,0.6597,0
3,29.559999,29.43,29.629999,29.219999,68529400,0,1,0,0,0
4,29.6,29.549999,29.6,29.32,46002500,0,0.833,0.167,0.5574,1
5,30.139999,30.190001,30.23,30.030001,102783700,0.048,0.868,0.084,0.126,1
6,29.709999,29.99,30.17,29.530001,53822100,0.071,0.85,0.079,0.0772,1
7,29.99,30.09,30.24,29.969999,31202100,0.121,0.718,0.161,0.5095,1
8,29.530001,29.99,30,29.4,37098300,0.039,0.897,0.064,0.0695,1
9,29.860001,29.98,30.030001,29.809999,26690600,0.119,0.73,0.151,0.1482,1
10,29.700001,29.809999,29.969999,29.440001,45774500,0.06,0.847,0.094,0.7767,1
11,29.65,29.93,30.1,29.530001,50220200,0.025,0.916,0.058,0.6633,0
12,30,29.959999,30.18,29.73,44636600,0.057,0.943,0,-0.6597,1
13,29.76,30.700001,30.75,29.65,99464300,0.012,0.956,0.031,0.5334,1
14,30.65,31.209999,31.389999,30.639999,103972500,0.029,0.859,0.113,0.6597,0
15,31.26,31.1,31.440001,31.01,58519600,0.023,0.977,0,-0.4767,0
16,31.15,31,31.370001,30.799999,56364300,0.015,0.868,0.117,0.8271,0
17,31.059999,30.719999,31.120001,30.51,56143900,0.031,0.824,0.145,0.9595,1
18,30.629999,30.74,30.959999,30.52,49171200,0.031,0.884,0.084,0.4019,0
19,31.08,30.450001,31.48,30.450001,97378700,0,0.954,0.046,0.6494,0
20,30.65,30.530001,30.780001,30.34,57605900,0.029,0.841,0.13,0.8442,0
21,30.57,30.48,30.639999,30.139999,61900400,0.058,0.866,0.076,0.6705,0
22,30.84,30.559999,30.940001,30.370001,55355800,0.031,0.792,0.177,0.9861,0
23,29.969999,29.610001,30.02,29.41,99102100,0.137,0.809,0.054,-0.9035,0
24,29.59,29.51,29.75,29.219999,79281100,0.098,0.841,0.061,-0.4019,1
25,29.24,29.26,29.799999,29.200001,48749000,0.025,0.837,0.138,0.8625,0
26,29.58,29.459999,29.65,29.219999,63858100,0.213,0.695,0.093,-0.6833,1
27,28.629999,28.83,28.860001,28.469999,53978200,0.117,0.685,0.198,0.1655,1
28,28.75,29.35,29.389999,28.74,68604900,0,0.821,0.179,0.5859,0
29,29.219999,28.9,29.280001,28.889999,63787100,0.093,0.795,0.112,0.7096,1
30,28.959999,29.07,29.09,28.82,63481900,0,1,0,0,1
31,27.950001,28.17,28.25,27.92,86333300,0.251,0.749,0,-0.6908,0
32,28.02,27.76,28.16,27.76,63254700,0.058,0.87,0.071,0.25,1
33,27.49,27.549999,27.91,27.41,56454300,0.023,0.842,0.135,0.9265,0
34,27.76,27.610001,27.9,27.549999,52044700,0,0.879,0.121,0.8658,0
35,27.42,27.290001,27.48,27.030001,80125000,0,0.874,0.126,0.9382,1
36,27.18,27.440001,27.48,27.129999,36516400,0,0.915,0.085,0.7783,1
37,26.82,27.4,27.4,26.73,75730300,0,0.947,0.053,0.6486,0
38,27.32,27.280001,27.469999,27.200001,51757100,0.058,0.863,0.079,0.5623,1
39,27.34,27.83,27.83,27.200001,49412000,0.106,0.859,0.034,-0.6486,0
40,27.93,27.84,28.16,27.76,47902400,0.068,0.864,0.067,0.2263,0
41,28.52,28.27,28.549999,28.01,47934900,0.021,0.979,0,-0.2183,0
42,28.040001,27.719999,28.16,27.65,58979800,0.019,0.914,0.068,0.5719,0
43,27.84,27.75,27.85,27.49,42629900,0,1,0,0,1
44,27.75,27.870001,27.950001,27.5,47061000,0,1,0,0,1
45,28.32,28.549999,28.65,28.299999,30131200,0.035,0.857,0.108,0.8694,0
46,28.58,28.57,28.719999,28.389999,31384600,0,0.863,0.137,0.9152,1
47,28.059999,28.540001,28.620001,28.040001,43762100,0.104,0.896,0,-0.7783,1
48,28.6,28.73,28.75,28.209999,30740100,0.045,0.811,0.144,0.9245,0
49,28.610001,28.6,28.67,28.360001,41778400,0,0.769,0.231,0.6908,1
50,28.34,28.690001,28.889999,28.26,43648800,0.101,0.816,0.084,-0.736,0
51,28.959999,28.780001,28.99,28.67,41739100,0.043,0.896,0.062,0.5574,0
52,28.790001,28.790001,28.959999,28.59,34236700,0.095,0.873,0.033,-0.34,1
53,29.09,29.1,29.35,28.91,68760300,0.011,0.878,0.111,0.9168,0
54,30.129999,29.940001,30.370001,29.940001,67788800,0.053,0.947,0,-0.5859,1
55,29.940001,30.4,30.42,29.9,73539300,0.095,0.782,0.122,0.204,1
56,30.6,30.969999,31,30.530001,82036800,0.012,0.826,0.162,0.9612,1
57,30.52,30.709999,30.76,30.48,59889100,0,0.883,0.117,0.5106,1
58,30.68,30.75,30.940001,30.58,60551700,0,0.887,0.113,0.4927,0
59,30.68,30.58,30.93,30.530001,55398600,0.025,0.84,0.135,0.91,1
60,30.57,30.889999,30.98,30.549999,43425300,0.104,0.896,0,-0.5719,0
61,31.030001,30.98,31.139999,30.959999,41045600,0.032,0.835,0.134,0.9485,0
62,30.969999,30.83,30.99,30.58,58453000,0.02,0.939,0.041,0.3612,1
63,30.280001,30.48,30.66,30.18,47726500,0,0.936,0.064,0.5423,1
64,30.549999,31.110001,31.129999,30.51,57376800,0,0.85,0.15,0.9022,0
65,31.120001,30.690001,31.16,30.610001,85290500,0.064,0.877,0.059,0.3632,1
66,30.42,30.719999,30.76,30.4,41434500,0.03,0.863,0.107,0.6597,0
67,30.620001,30.58,30.629999,30.33,44265000,0.032,0.925,0.043,-0.0899,0
68,30.02,29.620001,30.290001,29.59,71971400,0.113,0.719,0.169,0.5423,1
69,29.58,30.049999,30.059999,29.41,61346200,0.064,0.936,0,-0.128,0
70,29.959999,29.85,30.24,29.77,56981800,0.066,0.908,0.026,-0.6774,1
71,30.35,30.52,30.709999,30.299999,59065700,0.111,0.767,0.122,0.2729,0
72,30.48,30.459999,30.66,30.379999,46802600,0.114,0.765,0.121,0.34,1
73,29.98,30.219999,30.299999,29.91,56564800,0.017,0.845,0.138,0.8608,0
74,30,29.49,30.1,29.450001,86219900,0,0.963,0.037,0.4767,0
75,29.549999,29.52,29.799999,29.5,48340300,0,0.936,0.064,0.7469,1
76,29.360001,29.870001,29.950001,29.360001,53468600,0.034,0.911,0.054,0.2023,0
77,29.870001,29.469999,29.93,29.040001,71193900,0.1,0.9,0,-0.4194,1
78,29.790001,30.02,30.219999,29.780001,35202600,0.082,0.873,0.044,-0.379,0
79,30.049999,29.99,30.219999,29.83,47838500,0,0.872,0.128,0.8257,1
80,29.860001,29.870001,29.950001,29.809999,33831400,0.144,0.818,0.038,-0.9482,0
81,29.700001,29.33,29.99,29.18,66013500,0.073,0.745,0.182,0.8941,1
82,29.559999,30.07,30.110001,29.440001,54302400,0.03,0.901,0.069,0.4215,1
83,29.76,30.030001,30.24,29.719999,48023200,0,1,0,0,1
84,30.02,30.780001,30.879999,30.01,77539600,0.057,0.92,0.023,-0.5574,1
85,31.049999,31.51,31.84,30.93,121159300,0,1,0,0,1
86,31.15,31.16,31.200001,30.790001,98292600,0.023,0.885,0.092,0.7906,0
87,31.01,30.799999,31.48,30.709999,59729300,0.023,0.789,0.188,0.8316,0
88,30.99,30.709999,31.299999,30.370001,54950100,0.051,0.786,0.164,0.9445,0
89,29.93,29.389999,30,29.360001,69214600,0.141,0.687,0.172,0.7739,1
90,28.950001,29.299999,29.549999,28.82,80006300,0,1,0,0,0
91,29.450001,28.959999,29.780001,28.9,61535500,0.047,0.892,0.061,0.34,1
92,29.049999,29.540001,29.540001,28.75,59530500,0,0.796,0.204,0.7096,1
93,29.33,29.549999,29.790001,29.049999,49163000,0.089,0.852,0.059,-0.3182,1
94,29.719999,30,30.01,29.209999,52898600,0,0.774,0.226,0.9612,0
