,Open,neg,neu,pos,compound,label
0,29.23,0.137,0.863,0,-0.7783,1
1,29.1,0.051,0.847,0.102,0.9003,0
2,28.959999,0,0.81,0.19,0.6597,0
3,29.559999,0,1,0,0,0
4,29.6,0,0.833,0.167,0.5574,0
5,30.139999,0.048,0.868,0.084,0.126,1
6,29.709999,0.071,0.85,0.079,0.0772,1
7,29.99,0.121,0.718,0.161,0.5095,1
8,29.530001,0.039,0.897,0.064,0.0695,1
9,29.860001,0.119,0.73,0.151,0.1482,1
10,29.700001,0.06,0.847,0.094,0.7767,1
11,29.65,0.025,0.916,0.058,0.6633,1
12,30,0.057,0.943,0,-0.6597,0
13,29.76,0.012,0.956,0.031,0.5334,1
14,30.65,0.029,0.859,0.113,0.6597,1
15,31.26,0.023,0.977,0,-0.4767,0
16,31.15,0.015,0.868,0.117,0.8271,0
17,31.059999,0.031,0.824,0.145,0.9595,0
18,30.629999,0.031,0.884,0.084,0.4019,1
19,31.08,0,0.954,0.046,0.6494,0
20,30.65,0.029,0.841,0.13,0.8442,0
21,30.57,0.058,0.866,0.076,0.6705,0
22,30.84,0.031,0.792,0.177,0.9861,0
23,29.969999,0.137,0.809,0.054,-0.9035,0
24,29.59,0.098,0.841,0.061,-0.4019,0
25,29.24,0.025,0.837,0.138,0.8625,1
26,29.58,0.213,0.695,0.093,-0.6833,0
27,28.629999,0.117,0.685,0.198,0.1655,1
28,28.75,0,0.821,0.179,0.5859,1
29,29.219999,0.093,0.795,0.112,0.7096,0
30,28.959999,0,1,0,0,1
31,27.950001,0.251,0.749,0,-0.6908,1
32,28.02,0.058,0.87,0.071,0.25,0
33,27.49,0.023,0.842,0.135,0.9265,1
34,27.76,0,0.879,0.121,0.8658,0
35,27.42,0,0.874,0.126,0.9382,0
36,27.18,0,0.915,0.085,0.7783,1
37,26.82,0,0.947,0.053,0.6486,1
38,27.32,0.058,0.863,0.079,0.5623,0
39,27.34,0.106,0.859,0.034,-0.6486,1
40,27.93,0.068,0.864,0.067,0.2263,0
41,28.52,0.021,0.979,0,-0.2183,0
42,28.040001,0.019,0.914,0.068,0.5719,0
43,27.84,0,1,0,0,0
44,27.75,0,1,0,0,1
45,28.32,0.035,0.857,0.108,0.8694,1
46,28.58,0,0.863,0.137,0.9152,0
47,28.059999,0.104,0.896,0,-0.7783,1
48,28.6,0.045,0.811,0.144,0.9245,1
49,28.610001,0,0.769,0.231,0.6908,0
50,28.34,0.101,0.816,0.084,-0.736,1
51,28.959999,0.043,0.896,0.062,0.5574,0
52,28.790001,0.095,0.873,0.033,-0.34,0
53,29.09,0.011,0.878,0.111,0.9168,1
54,30.129999,0.053,0.947,0,-0.5859,0
55,29.940001,0.095,0.782,0.122,0.204,1
56,30.6,0.012,0.826,0.162,0.9612,1
57,30.52,0,0.883,0.117,0.5106,1
58,30.68,0,0.887,0.113,0.4927,1
59,30.68,0.025,0.84,0.135,0.91,0
60,30.57,0.104,0.896,0,-0.5719,1
61,31.030001,0.032,0.835,0.134,0.9485,0
62,30.969999,0.02,0.939,0.041,0.3612,0
63,30.280001,0,0.936,0.064,0.5423,1
64,30.549999,0,0.85,0.15,0.9022,1
65,31.120001,0.064,0.877,0.059,0.3632,0
66,30.42,0.03,0.863,0.107,0.6597,1
67,30.620001,0.032,0.925,0.043,-0.0899,0
68,30.02,0.113,0.719,0.169,0.5423,0
69,29.58,0.064,0.936,0,-0.128,1
70,29.959999,0.066,0.908,0.026,-0.6774,0
71,30.35,0.111,0.767,0.122,0.2729,1
72,30.48,0.114,0.765,0.121,0.34,0
73,29.98,0.017,0.845,0.138,0.8608,1
74,30,0,0.963,0.037,0.4767,0
75,29.549999,0,0.936,0.064,0.7469,0
76,29.360001,0.034,0.911,0.054,0.2023,1
77,29.870001,0.1,0.9,0,-0.4194,0
78,29.790001,0.082,0.873,0.044,-0.379,1
79,30.049999,0,0.872,0.128,0.8257,0
80,29.860001,0.144,0.818,0.038,-0.9482,1
81,29.700001,0.073,0.745,0.182,0.8941,0
82,29.559999,0.03,0.901,0.069,0.4215,1
83,29.76,0,1,0,0,1
84,30.02,0.057,0.92,0.023,-0.5574,1
85,31.049999,0,1,0,0,1
86,31.15,0.023,0.885,0.092,0.7906,1
87,31.01,0.023,0.789,0.188,0.8316,0
88,30.99,0.051,0.786,0.164,0.9445,0
89,29.93,0.141,0.687,0.172,0.7739,0
90,28.950001,0,1,0,0,1
91,29.450001,0.047,0.892,0.061,0.34,0
92,29.049999,0,0.796,0.204,0.7096,1
93,29.33,0.089,0.852,0.059,-0.3182,1
94,29.719999,0,0.774,0.226,0.9612,1
95,28.77,0.096,0.76,0.145,0.6633,0
96,28.24,0,0.865,0.135,0.5719,0
97,28.09,0.071,0.929,0,-0.296,1
98,28.18,0,0.756,0.244,0.872,1
99,28.27,0,0.898,0.102,0.7003,0
100,28.610001,0.019,0.857,0.124,0.8772,0
101,28.5,0.038,0.863,0.099,0.765,1
102,28.559999,0.137,0.807,0.056,-0.4404,1
103,28.620001,0.108,0.833,0.059,-0.8214,0
104,28.629999,0,0.8,0.2,0.7184,1
105,28.809999,0.029,0.883,0.088,0.7096,1
106,28.98,0,0.959,0.041,0.4588,1
107,28.700001,0.062,0.846,0.092,0.7695,1
108,28.870001,0.073,0.728,0.2,0.8971,0
109,28.690001,0.082,0.71,0.208,0.5574,0
110,28.809999,0.017,0.903,0.08,0.8827,1
111,29.68,0.071,0.767,0.162,0.8924,0
112,29.700001,0.05,0.748,0.202,0.9628,0
113,29.459999,0.053,0.947,0,-0.4404,1
114,29.700001,0,0.959,0.041,0.3818,0
115,29.559999,0.075,0.807,0.117,0.8142,1
116,29.889999,0.029,0.883,0.088,0.7003,0
117,30.030001,0.014,0.828,0.158,0.9393,1
118,30.299999,0,0.865,0.135,0.8748,0
119,30.030001,0.035,0.897,0.068,0.25,1
120,30.24,0,0.88,0.12,0.25,1
121,31.219999,0,0.957,0.043,0.4791,0
122,31.09,0,0.893,0.107,0.3291,0
123,30.709999,0.039,0.827,0.134,0.9456,1
124,30.85,0.032,0.855,0.113,0.6124,1
125,36.009998,0.07,0.762,0.168,0.9413,0
126,34.849998,0.077,0.774,0.149,0.7906,0
127,35.52,0.021,0.86,0.119,0.9118,1
128,36.529999,0.118,0.786,0.096,0.3804,1
129,36.759998,0.157,0.737,0.107,-0.7003,0
130,36.59,0.09,0.79,0.12,0.6597,0
131,35.599998,0.055,0.846,0.099,0.8074,0
132,33.540001,0.016,0.892,0.092,0.8838,1
133,34.619999,0.031,0.907,0.062,0.296,0
134,33.860001,0.143,0.804,0.054,-0.4588,1
135,33.959999,0.071,0.779,0.15,0.6046,0
136,34.400002,0,0.826,0.174,0.8519,0
137,34.09,0,1,0,0,0
138,33.580002,0.113,0.724,0.163,0.0258,1
139,33.5,0,0.905,0.095,0.4939,0
140,34.610001,0.07,0.847,0.082,0.128,0
141,34.73,0,0.818,0.182,0.8402,0
142,34.610001,0.089,0.82,0.092,0.0258,0
143,34.48,0.02,0.898,0.082,0.7346,1
144,35.049999,0.067,0.779,0.154,0.9593,1
145,34.639999,0.034,0.712,0.253,0.9325,1
146,34.689999,0.081,0.8,0.118,0.25,1
147,35.900002,0,0.849,0.151,0.796,1
148,36.349998,0,0.872,0.128,0.6124,0
149,35.900002,0.041,0.82,0.139,0.9228,0
150,35.189999,0.093,0.801,0.105,-0.0772,0
151,34.709999,0,0.893,0.107,0.8608,0
152,33.360001,0.049,0.915,0.037,-0.4019,1
153,34.139999,0.059,0.814,0.127,0.6908,0
154,34.459999,0.025,0.885,0.09,0.9341,0
155,33.419998,0,0.964,0.036,0.3612,0
156,33.16,0.212,0.788,0,-0.7783,0
157,31.540001,0,0.926,0.074,0.1779,1
158,32.349998,0.033,0.804,0.162,0.8555,1
159,34.900002,0.048,0.795,0.157,0.9289,0
160,31.91,0.022,0.856,0.122,0.9793,1
161,31.059999,0.063,0.744,0.192,0.9823,0
162,29.91,0.077,0.734,0.189,0.9529,0
163,29.280001,0.089,0.81,0.1,0.1691,0
164,28.290001,0.13,0.732,0.137,-0.0516,1
165,28.52,0.137,0.819,0.044,-0.9719,0
166,28.620001,0.06,0.909,0.031,-0.5346,1
167,28.879999,0.046,0.859,0.094,0.9482,0
168,28.799999,0.227,0.736,0.037,-0.6908,0
169,28.620001,0.063,0.829,0.108,0.824,0
170,28.24,0.062,0.773,0.165,0.9029,0
171,27.74,0.052,0.775,0.173,0.9535,1
172,28.190001,0.108,0.828,0.065,-0.6705,1
173,27.02,0.055,0.826,0.119,0.8557,1
174,27.75,0.179,0.774,0.047,-0.9427,1
175,27.34,0.162,0.812,0.025,-0.8442,1
176,28.4,0.064,0.802,0.134,0.8392,1
177,29.43,0.045,0.903,0.051,-0.0772,0
178,28.719999,0.079,0.722,0.199,0.5106,0
179,27.299999,0,1,0,0,1
180,29.379999,0.092,0.832,0.077,-0.2023,0
181,29.33,0.077,0.892,0.03,-0.3818,0
182,29.33,0,1,0,0,0
183,28.48,0.075,0.793,0.132,0.7783,0
184,28.23,0.129,0.805,0.066,-0.7003,0
185,28.83,0.074,0.875,0.051,-0.25,1
186,29,0.07,0.775,0.156,0.8979,0
187,29.129999,0,1,0,0,1
188,28.940001,0.022,0.856,0.121,0.8271,0
189,28.719999,0.115,0.832,0.053,-0.7783,1
190,28.870001,0,0.655,0.345,0.7003,0
191,28.57,0.106,0.817,0.076,-0.0258,1
192,30.01,0,0.802,0.198,0.7506,0
193,30.190001,0.053,0.92,0.027,-0.6632,1
194,30.450001,0.028,0.842,0.13,0.932,1
195,30.049999,0.091,0.72,0.189,0.9517,0
196,29.799999,0.037,0.886,0.077,0.4588,0
197,28.74,0.034,0.894,0.071,0.6908,0
198,28.5,0.024,0.913,0.062,0.6597,1
199,29.93,0.04,0.894,0.066,0.802,0
200,29,0.075,0.816,0.11,0.8338,1
201,29.690001,0,0.853,0.147,0.6705,0
202,29.280001,0.062,0.853,0.085,0.755,0
203,29.4,0.078,0.871,0.051,-0.3313,1
204,30,0.084,0.873,0.043,-0.6289,0
